,Unnamed: 0,1,2,5,10,20
0,1,,,,,
1,2,,,,,
2,3,,,,,
3,4,0.6589595375722543,0.6936416184971098,0.6936416184971098,0.6917148362235067,0.6897880539499036
4,5,0.674373795761079,0.6724470134874759,0.6820809248554913,0.6878612716763006,0.6897880539499036
5,6,0.674373795761079,0.6917148362235067,0.6763005780346821,0.6897880539499036,0.6897880539499036
6,7,0.697495183044316,0.6897880539499036,0.6840077071290944,0.6820809248554913,0.6897880539499036
7,8,0.6801541425818882,0.6859344894026975,0.6917148362235067,0.6897880539499036,0.6897880539499036
8,9,0.6589595375722543,0.6878612716763006,0.6955684007707129,0.6994219653179191,0.6859344894026975
9,10,0.697495183044316,0.6801541425818882,0.6917148362235067,0.6917148362235067,0.6859344894026975
